Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Dead weight tons in thousands Footnote,Percentage of total fleet,Percentage of total fleet Footnote,Number of ships,Number of ships Footnote
2014,0000,"Total all flags",2625,"Lower-middle-income economies (World Bank)",70404.668,,4.19739,,5006,
2014,0000,"Total all flags",2626,"Upper-middle-income economies (World Bank)",279464.987,,16.66115,,10967,
2014,0000,"Total all flags",2627,"High-income economies (World Bank)",1319284.101,,78.65311,,30604,
2014,0000,"Total all flags",2628,"High-income OECD members (World Bank)",1012260.986,,60.349,,23946,
2014,0000,"Total all flags",2629,"High-income non OECD members (World Bank)",307023.115,,18.30411,,6658,
2014,0000,"Total all flags",266,"Gabon",76.1,,0.00454,,3,
2014,0000,"Total all flags",268,"Georgia",9.925,,0.00059,,4,
2014,0000,"Total all flags",270,"Gambia",1.5,,9E-05,,1,
2014,0000,"Total all flags",2710,"BASIC",195851.759,,11.67629,,6227,
2014,0000,"Total all flags",2711,"BRICS",214341.379,,12.77861,,7902,
2014,0000,"Total all flags",276,"Germany",127347.1,,7.59218,,3694,
2014,0000,"Total all flags",288,"Ghana",42.101,,0.00251,,10,
2014,0000,"Total all flags",292,"Gibraltar",32.848,,0.00196,,7,
2014,0000,"Total all flags",296,"Kiribati",1.218,,7E-05,,1,
2014,0000,"Total all flags",300,"Greece",256122,,15.26949,,3757,
2014,0000,"Total all flags",304,"Greenland",39.542,,0.00236,,7,
2014,0000,"Total all flags",308,"Grenada",1.56,,9E-05,,1,
2014,0000,"Total all flags",3101,"AMU (Arab Maghreb Union)",4361.804,,0.26004,,123,
2014,0000,"Total all flags",3102,"COMESA (Common Market for Eastern and Southern Africa)",7220.807,,0.43049,,320,
2014,0000,"Total all flags",3103,"ECCAS (Economic Community of Central African States)",6647.222,,0.39629,,70,
2014,0000,"Total all flags",3104,"ECOWAS (Economic Community of West African States)",4756.237,,0.28356,,267,
2014,0000,"Total all flags",3105,"MRU (Mano River Union)",35.089,,0.00209,,8,
2014,0000,"Total all flags",3106,"SADC (Southern African Development Community)",8451.304,,0.50385,,156,
2014,0000,"Total all flags",3107,"CEMAC (Economic and Monetary Community of Central Africa)",871.578,,0.05196,,11,
2014,0000,"Total all flags",3108,"WAEMU (West African Economic and Monetary Union)",2.263,,0.00013,,2,
2014,0000,"Total all flags",3109,"CEPGL (Economic Community of the Great Lakes Countries)",15.786,,0.00094,,5,
2014,0000,"Total all flags",3110,"EAC (East African Community)",75.483,,0.0045,,18,
2014,0000,"Total all flags",3111,"SACU (Southern African Customs Union)",2263.943,,0.13497,,64,
2014,0000,"Total all flags",3112,"CEN-SAD (Community of Sahel-Saharan States)",11293.003,,0.67327,,560,
2014,0000,"Total all flags",3113,"IGAD (Intergovernmental Authority on Development)",523.458,,0.03121,,34,
2014,0000,"Total all flags",3114,"United Nations member States",1511903.82,,90.13671,,44280,
2014,0000,"Total all flags",312,"Guadeloupe",0,,0,,0,
2014,0000,"Total all flags",316,"Guam",1.035,,6E-05,,1,
2014,0000,"Total all flags",320,"Guatemala",1.109,,7E-05,,1,
2014,0000,"Total all flags",3201,"CAN (Andean Community)",1297.028,,0.07733,,107,
2014,0000,"Total all flags",3202,"CACM (Central American Common Market)",121.947,,0.00727,,21,
2014,0000,"Total all flags",3203,"CARICOM (Caribbean Community)",1381.158,,0.08234,,84,
2014,0000,"Total all flags",3204,"FTAA (Free Trade Area of the Americas)",98317.641,,5.8615,,3333,
2014,0000,"Total all flags",3205,"LAIA (Latin American Integration Association)",31296.905,,1.86586,,1036,
2014,0000,"Total all flags",3206,"NAFTA (North American Free Trade Agreement)",67160.978,,4.004,,2362,
2014,0000,"Total all flags",3207,"OECS (Organisation of Eastern Caribbean States)",518.24,,0.0309,,21,
2014,0000,"Total all flags",3208,"MERCOSUR (Southern Common Market)",22522.224,,1.34273,,556,
2014,0000,"Total all flags",3209,"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",2723.575,,0.16237,,106,
2014,0000,"Total all flags",3210,"UNASUR (Union of South American Nations)",2462.777,,0.14683,,117,
2014,0000,"Total all flags",3211,"ACS (Association of Caribbean States)",9134.965,,0.54461,,502,
2014,0000,"Total all flags",324,"Guinea",3.423,,0.0002,,1,
2014,0000,"Total all flags",328,"Guyana",39.516,,0.00236,,17,
2014,0000,"Total all flags",3301,"ASEAN (Association of Southeast Asian Nations)",130424.515,,7.77565,,6140,
2014,0000,"Total all flags",3302,"APTA (Asia-Pacific Trade Agreement)",253564.944,,15.11704,,7454,
2014,0000,"Total all flags",3303,"GCC (The Cooperation Council for the Arab States of the Gulf)",47166.411,,2.81197,,1191,
2014,0000,"Total all flags",3304,"SAARC (South Asian Association for Regional Cooperation)",24215.282,,1.44367,,1046,
2014,0000,"Total all flags",3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",585610.965,,34.91297,,16526,
2014,0000,"Total all flags",3306,"ECO (Economic Cooperation Organization)",48940.09,,2.91771,,1967,
2014,0000,"Total all flags",3307,"African Union",22474.724,,1.3399,,804,
2014,0000,"Total all flags",3310,"ADB (African Development Bank), developing member countries",228277.496,,13.60945,,10147,
2014,0000,"Total all flags",3311,"ADB: Group A",785.55,,0.04683,,86,
2014,0000,"Total all flags",3312,"ADB: Group B",24224.527,,1.44422,,1065,
2014,0000,"Total all flags",3313,"ADB: Group C",203267.419,,12.1184,,8996,
2014,0000,"Total all flags",332,"Haiti",9.622,,0.00057,,2,
2014,0000,"Total all flags",3320,"ECA (Economic Commission for Africa)",22509.138,,1.34195,,809,
2014,0000,"Total all flags",3321,"ECA: North Africa",7940.975,,0.47343,,346,
2014,0000,"Total all flags",3322,"ECA: East Africa",739.359,,0.04408,,51,
2014,0000,"Total all flags",3323,"ECA: Central Africa",887.364,,0.0529,,16,
2014,0000,"Total all flags",3324,"ECA: Southern Africa",8185.203,,0.48799,,129,
2014,0000,"Total all flags",3325,"ECA: West Africa",4756.237,,0.28356,,267,
2014,0000,"Total all flags",3330,"ECLAC (Economic Commission for Latin America and the Caribbean)",33141.101,,1.97581,,1154,
2014,0000,"Total all flags",3331,"ECLAC: Caribbean",1712.627,,0.1021,,95,
2014,0000,"Total all flags",3332,"ECLAC: Latin America",31428.474,,1.8737,,1059,
2014,0000,"Total all flags",3340,"ESCAP (Economic and Social Commission for Asia and the Pacific)",756697.617,,45.11281,,22970,
2014,0000,"Total all flags",3341,"ESCAP: Africa",22474.724,,1.3399,,804,
2014,0000,"Total all flags",3342,"ESCAP: Latin America",33141.101,,1.97581,,1154,
2014,0000,"Total all flags",3343,"ESCAP: Europe",656246.83,,39.12414,,16996,
2014,0000,"Total all flags",3344,"ESCAP: East and North-East Asia (ENEA)",531887.163,,31.71006,,11904,
2014,0000,"Total all flags",3345,"ESCAP: North and Central Asia",19607.502,,1.16896,,1902,
2014,0000,"Total all flags",3346,"ESCAP: South and South-West Asia",71370.982,,4.255,,2775,
2014,0000,"Total all flags",3347,"ESCAP: Pacific",3407.194,,0.20313,,248,
2014,0000,"Total all flags",3348,"ESCAP: Pacific island developing economies (PIDE)",550376.783,,32.81237,,13579,
2014,0000,"Total all flags",3349,"ESCAP: Other area",53983.132,,3.21837,,1584,
2014,0000,"Total all flags",3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",550376.783,,32.81237,,13579,
2014,0000,"Total all flags",3355,"UNECE (Economic Commission for Europe)",773708.64,,46.12698,,22638,
2014,0000,"Total all flags",3360,"UNECE: Eastern Europe, Caucasus and Central Asia",23573.889,,1.40543,,2298,
2014,0000,"Total all flags",3361,"UNECE: West Balkans",3346.38,,0.1995,,132,
2014,0000,"Total all flags",3370,"ESCWA (Economic and Social Commission for Western Asia)",57200.534,,3.41018,,1817,
2014,0000,"Total all flags",3371,"ESCWA: Arab countries",58618.748,,3.49473,,1868,
2014,0000,"Total all flags",340,"Honduras",43.837,,0.00261,,13,
2014,0000,"Total all flags",3401,"EFTA (European Free Trade Association)",61327.252,,3.65621,,2191,
2014,0000,"Total all flags",3402,"EU25 (European Union 2004 … 2007)",585251.429,,34.89153,,14083,
2014,0000,"Total all flags",3404,"EU15 (European Union 1995 … 2004)",569326.147,,33.9421,,13396,
2014,0000,"Total all flags",3406,"Euro area",489757.918,,29.1984,,11456,
2014,0000,"Total all flags",3408,"EU27 (European Union 2007 … 2013)",587518.825,,35.02671,,14251,
2014,0000,"Total all flags",3410,"EU28 (European Union 2013 … 2020)",590706.306,,35.21674,,14358,
2014,0000,"Total all flags",3411,"CEFTA (Central European Free Trade Agreement)",158.899,,0.00947,,25,
2014,0000,"Total all flags",3412,"European Union (2020 …)",544025.746,,32.43374,,13145,
2014,0000,"Total all flags",344,"China, Hong Kong SAR",75920.97,,4.52626,,1380,
2014,0000,"Total all flags",3501,"MSG (Melanesian Spearhead Group)",134.646,,0.00803,,51,
2014,0000,"Total all flags",352,"Iceland",99.392,,0.00593,,19,
2014,0000,"Total all flags",356,"India",21329.68,,1.27163,,918,
2014,0000,"Total all flags",360,"Indonesia",16581.03,,0.98853,,1646,
2014,0000,"Total all flags",3601,"Northern America and Europe",778132.742,,46.39073,,21167,
2014,0000,"Total all flags",3602,"Central and Southern Asia",42921.627,,2.5589,,1325,
2014,0000,"Total all flags",3603,"Eastern and South-Eastern Asia",708184.65,,42.22057,,18909,
2014,0000,"Total all flags",3604,"Western Asia and Northern Africa",91482.319,,5.45399,,3606,
2014,0000,"Total all flags",364,"Iran (Islamic Republic of)",18273.38,,1.08942,,238,
2014,0000,"Total all flags",368,"Iraq",232.042,,0.01383,,23,
2014,0000,"Total all flags",372,"Ireland",703.257,,0.04193,,78,
2014,0000,"Total all flags",376,"Israel",3308.564,,0.19725,,63,
2014,0000,"Total all flags",380,"Italy",25190.12,,1.50179,,839,
2014,0000,"Total all flags",384,"Côte d'Ivoire",0,,0,,0,
2014,0000,"Total all flags",388,"Jamaica",0,,0,,0,
2014,0000,"Total all flags",3901,"APEC (Asia-Pacific Economic Cooperation)",798492.22,,47.60453,,23055,
2014,0000,"Total all flags",3903,"CIS (Commonwealth of Independent States)",19523.876,,1.16397,,1879,
2014,0000,"Total all flags",3905,"OECD (Organisation for Economic Cooperation and Development)",1042552.874,,62.15494,,25587,
2014,0000,"Total all flags",3906,"OPEC (Organization of the Petroleum Exporting Countries)",70360.873,,4.19478,,1777,
2014,0000,"Total all flags",3907,"ACP (African, Caribbean and Pacific Group of States)",16896.768,,1.00735,,663,
2014,0000,"Total all flags",3908,"LAS (League of Arab States)",58618.748,,3.49473,,1868,
2014,0000,"Total all flags",3909,"OIC (Organisation of Islamic Cooperation)",147889.716,,8.81689,,6497,
2014,0000,"Total all flags",3910,"OAS (Organization of American States)",98551.42,,5.87544,,3353,
2014,0000,"Total all flags",3912,"G7 (Group of Seven)",518147.59,,30.89093,,12515,
2014,0000,"Total all flags",3913,"G8 (Group of Eight)",536637.21,,31.99325,,14190,
2014,0000,"Total all flags",3916,"G20 (Group of Twenty)",1231352.308,,73.41079,,33664,
2014,0000,"Total all flags",3919,"G-77 (Group of 77)",432741.446,,25.79919,,16042,
2014,0000,"Total all flags",392,"Japan",225124.9,,13.4215,,3953,
2014,0000,"Total all flags",3921,"GSTP (Global System of Trade Preferences among Developing Countries)",291658.367,,17.38809,,10669,
2014,0000,"Total all flags",3922,"GSTP: Africa",13116.392,,0.78197,,613,
2014,0000,"Total all flags",3923,"GSTP: Latin America",27799.443,,1.65735,,933,
2014,0000,"Total all flags",3924,"GSTP: Asia",250742.531,,14.94877,,9123,
2014,0000,"Total all flags",3932,"TPP (Trans-Pacific Partnership)",347427.6,,20.71295,,8394,
2014,0000,"Total all flags",3940,"ACP: Africa",14611.602,,0.87111,,469,
2014,0000,"Total all flags",3941,"ACP: Western Africa",4765.262,,0.2841,,268,
2014,0000,"Total all flags",3942,"ACP: Eastern Africa",900.761,,0.0537,,62,
2014,0000,"Total all flags",3943,"ACP: Central Africa",6647.222,,0.39629,,70,
2014,0000,"Total all flags",3944,"ACP: Southern Africa",2263.943,,0.13497,,64,
2014,0000,"Total all flags",3945,"ACP: Caribbean",1614.937,,0.09628,,104,
2014,0000,"Total all flags",3946,"ACP: Pacific",670.228,,0.03996,,90,
2014,0000,"Total all flags",3947,"ACP: LDCs",6367.651,,0.37963,,119,
2014,0000,"Total all flags",3948,"ACP: LLDCs",433.778,,0.02586,,17,
2014,0000,"Total all flags",3949,"ACP: islands states",2085.119,,0.12431,,159,
2014,0000,"Total all flags",3950,"ACP: Northern Africa",34.414,,0.00205,,5,
2014,0000,"Total all flags",398,"Kazakhstan",359.264,,0.02142,,22,
2014,0000,"Total all flags",400,"Jordan",202.799,,0.01209,,20,
2014,0000,"Total all flags",404,"Kenya",39.249,,0.00234,,7,
2014,0000,"Total all flags",408,"Korea, Dem. People's Rep. of",740.855,,0.04417,,137,
2014,0000,"Total all flags",410,"Korea, Republic of",76958.75,,4.58813,,1561,
2014,0000,"Total all flags",414,"Kuwait",6167.094,,0.36767,,63,
2014,0000,"Total all flags",418,"Lao People's Dem. Rep.",19.678,,0.00117,,1,
2014,0000,"Total all flags",422,"Lebanon",1624.21,,0.09683,,172,
2014,0000,"Total all flags",428,"Latvia",1134.571,,0.06764,,70,
2014,0000,"Total all flags",430,"Liberia",26.041,,0.00155,,5,
2014,0000,"Total all flags",434,"Libya",2440.264,,0.14548,,32,
2014,0000,"Total all flags",438,"Liechtenstein",0,,0,,0,
2014,0000,"Total all flags",440,"Lithuania",300.391,,0.01791,,55,
2014,0000,"Total all flags",442,"Luxembourg",1606.973,,0.0958,,59,
2014,0000,"Total all flags",446,"China, Macao SAR",38.888,,0.00232,,1,
2014,0000,"Total all flags",450,"Madagascar",1.214,,7E-05,,1,
2014,0000,"Total all flags",458,"Malaysia",16263.28,,0.96958,,612,
2014,0000,"Total all flags",462,"Maldives",55.133,,0.00329,,11,
2014,0000,"Total all flags",470,"Malta",526.69,,0.0314,,32,
2014,0000,"Total all flags",474,"Martinique",0,,0,,0,
2014,0000,"Total all flags",478,"Mauritania",9.025,,0.00054,,1,
2014,0000,"Total all flags",480,"Mauritius",152.531,,0.00909,,7,
2014,0000,"Total all flags",484,"Mexico",1409.568,,0.08404,,150,
2014,0000,"Total all flags",492,"Monaco",17141.97,,1.02197,,181,
2014,0000,"Total all flags",496,"Mongolia",0,,0,,0,
2014,0000,"Total all flags",498,"Moldova, Republic of",0,,0,,0,
2014,0000,"Total all flags",499,"Montenegro",71.75,,0.00428,,3,
2014,0000,"Total all flags",504,"Morocco",201.99,,0.01204,,32,
2014,0000,"Total all flags",508,"Mozambique",8.871,,0.00053,,4,
2014,0000,"Total all flags",5100,"Africa",22509.138,,1.34195,,809,
2014,0000,"Total all flags",5110,"Northern Africa",7931.95,,0.47289,,345,
2014,0000,"Total all flags",512,"Oman",6923.601,,0.41277,,35,
2014,0000,"Total all flags",5120,"Sub-Saharan Africa",14577.188,,0.86906,,464,
2014,0000,"Total all flags",5121,"Eastern Africa",900.761,,0.0537,,62,
2014,0000,"Total all flags",5122,"Middle Africa",6647.222,,0.39629,,70,
2014,0000,"Total all flags",5123,"Southern Africa",2263.943,,0.13497,,64,
2014,0000,"Total all flags",5124,"Western Africa",4765.262,,0.2841,,268,
2014,0000,"Total all flags",516,"Namibia",27.284,,0.00163,,5,
2014,0000,"Total all flags",5200,"America",136537.393,,8.14009,,3650,
2014,0000,"Total all flags",5210,"Northern America",103396.292,,6.16428,,2496,
2014,0000,"Total all flags",5220,"Latin America and the Caribbean",33141.101,,1.97581,,1154,
2014,0000,"Total all flags",5221,"Caribbean",1892.852,,0.11285,,92,
2014,0000,"Total all flags",5222,"Central America",5097.975,,0.30393,,302,
2014,0000,"Total all flags",5223,"South America",26150.274,,1.55903,,760,
2014,0000,"Total all flags",528,"Netherlands",17065.16,,1.01739,,1216,
2014,0000,"Total all flags",5300,"Asia",834656.645,,49.76058,,23495,
2014,0000,"Total all flags",531,"Curaçao",1.68,,0.0001,,1,
2014,0000,"Total all flags",5310,"Central Asia",432.965,,0.02581,,41,
2014,0000,"Total all flags",5320,"Southern Asia",42488.662,,2.53309,,1284,
2014,0000,"Total all flags",533,"Aruba",0,,0,,0,
2014,0000,"Total all flags",5330,"Eastern Asia",577759.873,,34.4449,,12768,
2014,0000,"Total all flags",5340,"Western Asia",83550.369,,4.98111,,3261,
2014,0000,"Total all flags",535,"Bonaire, Sint Eustatius and Saba",0,,0,,0,
2014,0000,"Total all flags",5350,"South-eastern Asia",130424.777,,7.77567,,6141,
2014,0000,"Total all flags",540,"New Caledonia",3.975,,0.00024,,3,
2014,0000,"Total all flags",5400,"Europe",674736.45,,40.22645,,18671,
2014,0000,"Total all flags",5410,"Eastern Europe",27805.36,,1.6577,,2379,
2014,0000,"Total all flags",5420,"Northern Europe",140308.607,,8.36492,,4777,
2014,0000,"Total all flags",5430,"Southern Europe",299138.335,,17.83404,,5360,
2014,0000,"Total all flags",5440,"Western Europe",207484.148,,12.36979,,6155,
2014,0000,"Total all flags",548,"Vanuatu",2.5,,0.00015,,1,
2014,0000,"Total all flags",5500,"Oceania",3407.194,,0.20313,,248,
2014,0000,"Total all flags",554,"New Zealand",200.674,,0.01196,,18,
2014,0000,"Total all flags",558,"Nicaragua",0,,0,,0,
2014,0000,"Total all flags",5600,"Asia and Oceania",838063.839,,49.96371,,23743,
2014,0000,"Total all flags",566,"Nigeria",4665.117,,0.27813,,239,
2014,0000,"Total all flags",579,"Norway",43319.91,,2.58265,,1829,
2014,0000,"Total all flags",580,"Northern Mariana Islands",0,,0,,0,
2014,0000,"Total all flags",583,"Micronesia (Federated States of)",0,,0,,0,
