,Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,"""Growth rate"," year-on-year""","""Growth rate"," year-on-year Footnote""",Growth rate (over previous period),Growth rate (over previous period) Footnote,Volume Index (2005=100)
9662,2013Q04,"""Q4 2013""",0000,"""World""",02,"""Exports""",3.66321,,2.99608,,143.261,,135.693
9937,2014Q01,"""Q1 2014""",0000,"""World""",01,"""Imports""",2.83619,,-4.3162,,135.6097,,135.239
9938,2014Q01,"""Q1 2014""",0000,"""World""",02,"""Exports""",2.08117,,-4.99621,,136.1034,,137.024
10213,2014Q02,"""Q2 2014""",0000,"""World""",01,"""Imports""",1.22213,,3.14608,,139.8761,,135.235
10214,2014Q02,"""Q2 2014""",0000,"""World""",02,"""Exports""",2.06664,,4.83466,,142.6835,,137.922
10489,2014Q03,"""Q3 2014""",0000,"""World""",01,"""Imports""",2.95441,,2.2206,,142.9821,,137.224
10490,2014Q03,"""Q3 2014""",0000,"""World""",02,"""Exports""",3.94893,,1.3336,,144.5863,,139.341
10765,2014Q04,"""Q4 2014""",0000,"""World""",01,"""Imports""",4.7711,,3.85129,,148.4888,,139.023
10766,2014Q04,"""Q4 2014""",0000,"""World""",02,"""Exports""",3.81639,,2.86475,,148.7284,,141.2
11041,2015Q01,"""Q1 2015""",0000,"""World""",01,"""Imports""",4.22213,,-4.81756,,141.3353,,141.377
11042,2015Q01,"""Q1 2015""",0000,"""World""",02,"""Exports""",3.70942,,-5.09409,,141.152,,141.81
11317,2015Q02,"""Q2 2015""",0000,"""World""",01,"""Imports""",3.11394,,2.04933,,144.2317,,139.381
11318,2015Q02,"""Q2 2015""",0000,"""World""",02,"""Exports""",1.90294,,3.00858,,145.3987,,140.626
11593,2015Q03,"""Q3 2015""",0000,"""World""",01,"""Imports""",3.37724,,2.48163,,147.811,,140.645
11594,2015Q03,"""Q3 2015""",0000,"""World""",02,"""Exports""",0.91152,,0.34773,,145.9043,,141.055
11869,2015Q04,"""Q4 2015""",0000,"""World""",01,"""Imports""",2.54164,,3.01186,,152.2629,,142.409
11870,2015Q04,"""Q4 2015""",0000,"""World""",02,"""Exports""",1.34433,,3.30594,,150.7278,,142.762
12145,2016Q01,"""Q1 2016""",0000,"""World""",01,"""Imports""",0.76041,,-6.47095,,142.41,,140.526
12146,2016Q01,"""Q1 2016""",0000,"""World""",02,"""Exports""",0.89442,,-5.51543,,142.4145,,142.147
12421,2016Q02,"""Q2 2016""",0000,"""World""",01,"""Imports""",2.26961,,3.57784,,147.5052,,141.615
12422,2016Q02,"""Q2 2016""",0000,"""World""",02,"""Exports""",2.86255,,5.01795,,149.5608,,143.814
12697,2016Q03,"""Q3 2016""",0000,"""World""",01,"""Imports""",0.22558,,0.43336,,148.1444,,142.88
12698,2016Q03,"""Q3 2016""",0000,"""World""",02,"""Exports""",1.10743,,-1.36448,,147.5201,,143.955
12973,2016Q04,"""Q4 2016""",0000,"""World""",01,"""Imports""",0.85348,,3.65721,,153.5624,,144.686
12974,2016Q04,"""Q4 2016""",0000,"""World""",02,"""Exports""",1.52276,,3.7303,,153.023,,145.722
13249,2017Q01,"""Q1 2017""",0000,"""World""",01,"""Imports""",5.16286,,-2.47454,,149.7624,,146.764
13250,2017Q01,"""Q1 2017""",0000,"""World""",02,"""Exports""",5.08161,,-2.2033,,149.6515,,148.547
13525,2017Q02,"""Q2 2017""",0000,"""World""",01,"""Imports""",4.61754,,3.04074,,154.3163,,149.375
13526,2017Q02,"""Q2 2017""",0000,"""World""",02,"""Exports""",4.14304,,4.07995,,155.7572,,151.331
13801,2017Q03,"""Q3 2017""",0000,"""World""",01,"""Imports""",5.00816,,0.80836,,155.5637,,150.477
13802,2017Q03,"""Q3 2017""",0000,"""World""",02,"""Exports""",5.2601,,-0.3065,,155.2798,,152.038
14077,2017Q04,"""Q4 2017""",0000,"""World""",01,"""Imports""",5.46674,,4.10989,,161.9572,,152.459
14078,2017Q04,"""Q4 2017""",0000,"""World""",02,"""Exports""",5.19424,,3.66541,,160.9714,,154.018
14353,2018Q01,"""Q1 2018""",0000,"""World""",01,"""Imports""",4.46719,,-3.39882,,156.4526,,153.845
14354,2018Q01,"""Q1 2018""",0000,"""World""",02,"""Exports""",4.13782,,-3.18543,,155.8438,,155.117
14629,2018Q02,"""Q2 2018""",0000,"""World""",01,"""Imports""",3.72936,,2.31297,,160.0713,,155.182
14630,2018Q02,"""Q2 2018""",0000,"""World""",02,"""Exports""",3.42025,,3.36277,,161.0844,,156.651
14905,2018Q03,"""Q3 2018""",0000,"""World""",01,"""Imports""",4.00374,,1.07502,,161.7921,,156.39
14906,2018Q03,"""Q3 2018""",0000,"""World""",02,"""Exports""",3.1128,,-0.60287,,160.1133,,157.084
15181,2018Q04,"""Q4 2018""",0000,"""World""",01,"""Imports""",2.10782,,2.21203,,165.371,,154.471
15182,2018Q04,"""Q4 2018""",0000,"""World""",02,"""Exports""",2.37918,,2.92785,,164.8012,,156.719
15457,2019Q01,"""Q1 2019""",0000,"""World""",01,"""Imports""",0.63314,,-4.79398,,157.4432,,155.439
15458,2019Q01,"""Q1 2019""",0000,"""World""",02,"""Exports""",0.67175,,-4.80005,,156.8907,,157.355
15733,2019Q02,"""Q2 2019""",0000,"""World""",01,"""Imports""",0.36791,,2.04332,,160.6602,,156.234
15734,2019Q02,"""Q2 2019""",0000,"""World""",02,"""Exports""",-0.16092,,2.50784,,160.8252,,157.057
16009,2019Q03,"""Q3 2019""",0000,"""World""",01,"""Imports""",0.59771,,1.30644,,162.7592,,155.76
16010,2019Q03,"""Q3 2019""",0000,"""World""",02,"""Exports""",0.88731,,0.44071,,161.534,,156.967
16285,2019Q04,"""Q4 2019""",0000,"""World""",01,"""Imports""",-0.24848,,1.35226,,164.9601,,153.218
16286,2019Q04,"""Q4 2019""",0000,"""World""",02,"""Exports""",0.2927,,2.32122,,165.2836,,155.688
16561,2020Q01,"""Q1 2020""",0000,"""World""",01,"""Imports""",-2.34709,,-6.79696,,153.7478,,150.43
16562,2020Q01,"""Q1 2020""",0000,"""World""",02,"""Exports""",-2.83838,,-7.77214,,152.4375,,152.237
16837,2020Q02,"""Q2 2020""",0000,"""World""",01,"""Imports""",-14.99269,,-11.17082,,136.5729,,133.009
16838,2020Q02,"""Q2 2020""",0000,"""World""",02,"""Exports""",-16.21963,,-11.60969,,134.74,,131.693
17113,2020Q03,"""Q3 2020""",0000,"""World""",01,"""Imports""",-5.24466,,12.92354,,154.223,,146.164
17114,2020Q03,"""Q3 2020""",0000,"""World""",02,"""Exports""",-3.53888,,15.64311,,155.8175,,149.821
17389,2020Q04,"""Q4 2020""",0000,"""World""",01,"""Imports""",0.21284,,7.18972,,165.3112,,153.442
17390,2020Q04,"""Q4 2020""",0000,"""World""",02,"""Exports""",-0.00372,,6.07115,,165.2774,,155.597
