,Quarter,Quarter Label,Flow Label,"""Growth rate","""Growth rate.1",Growth rate (over previous period),Volume Index (2005=100)
105,2018,Q1,Exports,4.13782,-3.18543,155.8438,155.117
106,2018,Q2,Imports,3.72936,2.31297,160.0713,155.182
107,2018,Q2,Exports,3.42025,3.36277,161.0844,156.651
108,2018,Q3,Imports,4.00374,1.07502,161.7921,156.39
109,2018,Q3,Exports,3.1128,-0.60287,160.1133,157.084
110,2018,Q4,Imports,2.10782,2.21203,165.371,154.471
111,2018,Q4,Exports,2.37918,2.92785,164.8012,156.719
112,2019,Q1,Imports,0.63314,-4.79398,157.4432,155.439
113,2019,Q1,Exports,0.67175,-4.80005,156.8907,157.355
114,2019,Q2,Imports,0.36791,2.04332,160.6602,156.234
115,2019,Q2,Exports,-0.16092,2.50784,160.8252,157.057
116,2019,Q3,Imports,0.59771,1.30644,162.7592,155.76
117,2019,Q3,Exports,0.88731,0.44071,161.534,156.967
118,2019,Q4,Imports,-0.24848,1.35226,164.9601,153.218
119,2019,Q4,Exports,0.2927,2.32122,165.2836,155.688
120,2020,Q1,Imports,-2.34709,-6.79696,153.7478,150.43
121,2020,Q1,Exports,-2.83838,-7.77214,152.4375,152.237
122,2020,Q2,Imports,-14.99269,-11.17082,136.5729,133.009
123,2020,Q2,Exports,-16.21963,-11.60969,134.74,131.693
124,2020,Q3,Imports,-5.24466,12.92354,154.223,146.164
125,2020,Q3,Exports,-3.53888,15.64311,155.8175,149.821
126,2020,Q4,Imports,0.21284,7.18972,165.3112,153.442
127,2020,Q4,Exports,-0.00372,6.07115,165.2774,155.597
