Year,Series,Series Label,Economy,Economy Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,US dollars at constant prices (2015) in millions,US dollars at constant prices (2015) in millions Footnote,US dollars at constant prices (2015) per capita,US dollars at constant prices (2015) per capita Footnote
"1970,5100,""Total gross domestic product"",2106,""Developing economies: Oceania"",2175.976,,520.076,,11971.2,,2861.214,"
"1970,5100,""Total gross domestic product"",2116,""Sub-Saharan Africa excluding South Africa"",73040.617,,286.614,,253463.535,,994.6,"
"1970,5100,""Total gross domestic product"",2117,""Africa excluding South Africa"",97776.137,,286.905,,401413.98,,1177.871,"
"1970,5100,""Total gross domestic product"",212,""Dominica"",23.045,,324.188,,140.298,,1973.687,"
"1970,5100,""Total gross domestic product"",214,""Dominican Republic"",1859.113,,413.162,,7635.573,,1696.899,"
"1970,5100,""Total gross domestic product"",2160,""Developing economies excluding China"",502924.373,,277.452,,3000745.299,,1654.703,"
"1970,5100,""Total gross domestic product"",2161,""Developing economies excluding LDCs"",551163.439,,236.291,,3039940.842,,1303.265,"
"1970,5100,""Total gross domestic product"",218,""Ecuador"",2861.132,,471.405,,17347.894,,2858.267,"
"1970,5100,""Total gross domestic product"",2200,""Developing regions (M49)"",595526.991,,225.529,,3232494.706,,1223.569,"
"1970,5100,""Total gross domestic product"",2205,""Developed regions (M49)"",2823456.213,,2660.311,,14835131.676,,13977.925,"
"1970,5100,""Total gross domestic product"",2210,""LDCs (Least developed countries)"",44363.552,,143.555,,192553.864,,616.584,"
"1970,5100,""Total gross domestic product"",2211,""LDCs: Africa and Haiti"",31041.642,,177.571,,130911.638,,748.868,"
"1970,5100,""Total gross domestic product"",2213,""LDCs: Asia"",13194.231,,97.734,,60972.226,,437.298,"
"1970,5100,""Total gross domestic product"",2216,""LDCs: Islands"",127.679,,244.713,,670,,1284.147,"
"1970,5100,""Total gross domestic product"",222,""El Salvador"",339.461,,92.419,,8198.805,,2232.142,"
"1970,5100,""Total gross domestic product"",2220,""LLDCs (Landlocked developing countries)"",16089.093,,135.614,,65695.882,,553.747,"
"1970,5100,""Total gross domestic product"",2221,""LDCs: Africa"",30602.407,,179.87,,126273.522,,742.19,"
"1970,5100,""Total gross domestic product"",2222,""LDCs: Islands and Haiti"",566.914,,109.064,,5308.116,,1021.187,"
"1970,5100,""Total gross domestic product"",2230,""SIDS (Small island developing States) (UNCTAD)"",4546.327,,707.062,,29429.725,,4577.023,"
"1970,5100,""Total gross domestic product"",2231,""SIDS: Atlantic and Indian Ocean"",415.986,,265.337,,2245.822,,1432.496,"
"1970,5100,""Total gross domestic product"",2232,""SIDS: Caribbean"",3704.02,,1001.519,,24769.182,,6697.262,"
"1970,5100,""Total gross domestic product"",2233,""SIDS: Pacific"",426.32,,366.345,,2414.721,,2075.016,"
"1970,5100,""Total gross domestic product"",2250,""SIDS (Small island developing States) (UN-OHRLLS)"",18473.593,,580.217,,102669.116,,3224.624,"
"1970,5100,""Total gross domestic product"",226,""Equatorial Guinea"",20.972,,68.991,,277.69,,913.497,"
"1970,5100,""Total gross domestic product"",230,""Ethiopia (...1991)"",2559.075,,86.089,,8835.303,,297.224,"
"1970,5100,""Total gross domestic product"",2370,""Selected exporters of petroleum"",91372.582,,569.34,,763226.079,,4755.64,"
"1970,5100,""Total gross domestic product"",2371,""Selected exporters of manufactured goods"",291262.073,,162.946,,1155471.285,,646.425,"
"1970,5100,""Total gross domestic product"",2372,""Selected exporters of manufactured goods and primary commodities"",262906.919,,210.456,,1180045.296,,944.62,"
"1970,5100,""Total gross domestic product"",2373,""Selected exporters of agricultural products"",64054.743,,414.8,,398096.739,,2577.957,"
"1970,5100,""Total gross domestic product"",2374,""Selected exporters of minerals and mining products"",26013.33,,354.751,,134146.958,,1829.402,"
"1970,5100,""Total gross domestic product"",2376,""Selected LIFDC (Low-income food-deficit countries)"",96012.127,,119.231,,341231.592,,423.753,"
"1970,5100,""Total gross domestic product"",2378,""LIFDC (Low-income food-deficit countries) (FAO)"",120988.624,,131.231,,433119.701,,467.289,"
"1970,5100,""Total gross domestic product"",2411,""Net food-importing economies"",1710895.365,,780.742,,8990174.295,,4101.793,"
"1970,5100,""Total gross domestic product"",2412,""Net food-exporting economies"",1707783.412,,1131.654,,9075425.468,,6013.787,"
"1970,5100,""Total gross domestic product"",2413,""Net food-exporting developing economies"",289524.258,,258.574,,1647595.692,,1471.465,"
"1970,5100,""Total gross domestic product"",2415,""Net food-exporting developed economies"",1418259.154,,3642.109,,7427829.776,,19074.767,"
"1970,5100,""Total gross domestic product"",2416,""Major net food-exporting economies"",1695102.613,,1158.03,,9021844.199,,6163.383,"
"1970,5100,""Total gross domestic product"",242,""Fiji"",220.82,,424.195,,1056.328,,2029.21,"
"1970,5100,""Total gross domestic product"",2420,""Net food-importing developing economies"",305778.514,,201.046,,1583428.258,,1039.994,"
"1970,5100,""Total gross domestic product"",2422,""Net food-importing developed economies"",1405116.85,,2091.257,,7406746.038,,11023.577,"
"1970,5100,""Total gross domestic product"",2423,""Major net food-importing economies"",1620374.922,,843.895,,8601350.767,,4478.766,"
"1970,5100,""Total gross domestic product"",246,""Finland"",11301.892,,2450.346,,78868.008,,17099.256,"
"1970,5100,""Total gross domestic product"",2508,""Industrialized economies (UNIDO)"",2774276.358,,2681.027,,14729471.006,,14234.38,"
"1970,5100,""Total gross domestic product"",2509,""EIEs (Emerging Industrial Economies) (UNIDO)"",479688.204,,240.999,,2601730.878,,1307.131,"
"1970,5100,""Total gross domestic product"",251,""France"",148735.073,,2861.322,,912026.684,,17545.307,"
"1970,5100,""Total gross domestic product"",2510,""Emerging markets"",967388.521,,408.896,,3511159.741,,1484.098,"
"1970,5100,""Total gross domestic product"",2511,""Emerging markets: Africa"",56186.901,,499.147,,219746.412,,1952.16,"
"1970,5100,""Total gross domestic product"",2512,""Emerging markets: America"",159287.992,,676.422,,1168850.813,,4963.569,"
"1970,5100,""Total gross domestic product"",2513,""Emerging markets: Asia"",240268.861,,143.237,,1080753.249,,644.292,"
"1970,5100,""Total gross domestic product"",2514,""Emerging markets: Europe and Kazakhstan"",511644.768,,1503.176,,1041809.267,,3060.762,"
"1970,5100,""Total gross domestic product"",258,""French Polynesia"",262.819,,2378.666,,1452.5,,13145.982,"
"1970,5100,""Total gross domestic product"",2611,""HIPCs (Heavily indebted poor countries) (IMF)"",38512.524,,198.53,,148244.725,,764.195,"
"1970,5100,""Total gross domestic product"",262,""Djibouti"",71.365,,446.973,,519.488,,3253.672,"
"1970,5100,""Total gross domestic product"",2621,""High-income developing economies"",366159.214,,285.431,,2285115.987,,1781.31,"
"1970,5100,""Total gross domestic product"",2622,""Middle-income developing economies"",196626.662,,169.462,,835496.726,,720.071,"
"1970,5100,""Total gross domestic product"",2623,""Low-income developing economies"",32703.105,,165.152,,111763.652,,552.359,"
"1970,5100,""Total gross domestic product"",2624,""Low-income economies (World Bank)"",30180.383,,165.612,,112065.347,,602.493,"
"1970,5100,""Total gross domestic product"",2625,""Lower-middle-income economies (World Bank)"",176088.291,,169.99,,655925.489,,633.209,"
"1970,5100,""Total gross domestic product"",2626,""Upper-middle-income economies (World Bank)"",800400.384,,494.686,,2757638.852,,1704.354,"
"1970,5100,""Total gross domestic product"",2627,""High-income economies (World Bank)"",2412291.3,,2784.264,,14541779.736,,16784.108,"
"1970,5100,""Total gross domestic product"",2628,""High-income OECD members (World Bank)"",2368794.47,,2929.66,,14139204.359,,17486.98,"
"1970,5100,""Total gross domestic product"",2629,""High-income non OECD members (World Bank)"",43496.83,,751.947,,402575.377,,6959.479,"
"1970,5100,""Total gross domestic product"",266,""Gabon"",409.869,,695.498,,3445.94,,5847.346,"
"1970,5100,""Total gross domestic product"",270,""Gambia"",160.123,,344.793,,359.592,,774.308,"
"1970,5100,""Total gross domestic product"",2710,""BASIC"",208895.395,,139.266,,890754.753,,593.847,"
"1970,5100,""Total gross domestic product"",2711,""BRICS"",642307.856,,368.671,,1539144.184,,883.436,"
"1970,5100,""Total gross domestic product"",275,""State of Palestine"",177.352,,157.418,,1017.269,,902.933,"
"1970,5100,""Total gross domestic product"",280,""Germany, Federal Republic of"",215835.186,,2746.75,,1398222.027,,17793.979,"
"1970,5100,""Total gross domestic product"",288,""Ghana"",4697.714,,537.773,,9977.91,,1142.226,"
"1970,5100,""Total gross domestic product"",296,""Kiribati"",20.196,,394.891,,135.887,,2657.06,"
"1970,5100,""Total gross domestic product"",300,""Greece"",13133.731,,1515.972,,94352.22,,10890.688,"
"1970,5100,""Total gross domestic product"",304,""Greenland"",75.968,,1648.721,,747.85,,16230.441,"
"1970,5100,""Total gross domestic product"",308,""Grenada"",19.108,,202.251,,166.51,,1762.457,"
"1970,5100,""Total gross domestic product"",3101,""AMU (Arab Maghreb Union)"",15815.98,,407.483,,109404.279,,2818.693,"
"1970,5100,""Total gross domestic product"",3102,""COMESA (Common Market for Eastern and Southern Africa)"",33027.332,,207.64,,168945.56,,1062.149,"
"1970,5100,""Total gross domestic product"",3103,""ECCAS (Economic Community of Central African States)"",11750.556,,247.865,,70704.328,,1491.429,"
"1970,5100,""Total gross domestic product"",3104,""ECOWAS (Economic Community of West African States)"",40894.415,,389.74,,125508.719,,1196.146,"
"1970,5100,""Total gross domestic product"",3105,""MRU (Mano River Union)"",3038.327,,226.702,,14577.134,,1087.659,"
"1970,5100,""Total gross domestic product"",3106,""SADC (Southern African Development Community)"",40261.628,,422.507,,187883.904,,1971.663,"
"1970,5100,""Total gross domestic product"",3107,""CEMAC (Economic and Monetary Community of Central Africa)"",2661.623,,187.508,,16058.595,,1131.308,"
"1970,5100,""Total gross domestic product"",3108,""WAEMU (West African Economic and Monetary Union)"",5038.59,,161.614,,22401.446,,718.533,"
"1970,5100,""Total gross domestic product"",3109,""CEPGL (Economic Community of the Great Lakes Countries)"",5245.699,,192.521,,27924.88,,1024.862,"
"1970,5100,""Total gross domestic product"",3110,""EAC (East African Community)"",6729.735,,162.245,,23091.181,,556.697,"
"1970,5100,""Total gross domestic product"",3111,""SACU (Southern African Customs Union)"",19562.515,,783.279,,108042.463,,4325.998,"
"1970,5100,""Total gross domestic product"",3112,""CEN-SAD (Community of Sahel-Saharan States)"",60857.996,,336.174,,241874.01,,1336.091,"
"1970,5100,""Total gross domestic product"",3113,""IGAD (Intergovernmental Authority on Development)"",8147.481,,120.146,,36628.562,,540.141,"
"1970,5100,""Total gross domestic product"",3114,""United Nations member States"",3407562.167,,926.011,,18000327.559,,4891.182,"
"1970,5100,""Total gross domestic product"",320,""Guatemala"",1670.434,,297.135,,13084.306,,2327.425,"
"1970,5100,""Total gross domestic product"",3201,""CAN (Andean Community)"",19827.263,,435.829,,121964.716,,2680.942,"
"1970,5100,""Total gross domestic product"",3202,""CACM (Central American Common Market)"",6392.379,,359.431,,45436.046,,2554.781,"
"1970,5100,""Total gross domestic product"",3203,""CARICOM (Caribbean Community)"",4962.388,,517.929,,32817.322,,3425.172,"
"1970,5100,""Total gross domestic product"",3205,""LAIA (Latin American Integration Association)"",167836.559,,664.235,,1210741.178,,4791.665,"
"1970,5100,""Total gross domestic product"",3206,""NAFTA (North American Free Trade Agreement)"",1212861.596,,4254.495,,5942342.982,,20844.647,"
"1970,5100,""Total gross domestic product"",3207,""OECS (Organisation of Eastern Caribbean States)"",186.581,,375.204,,1454.162,,2924.232,"
"1970,5100,""Total gross domestic product"",3208,""MERCOSUR (Southern Common Market)"",86246.371,,635.685,,745933.584,,5497.953,"
"1970,5100,""Total gross domestic product"",3209,""ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)"",20826.621,,906.112,,158518.319,,6896.721,"
"1970,5100,""Total gross domestic product"",3210,""UNASUR (Union of South American Nations)"",15623.669,,921.573,,139448.782,,8225.487,"
"1970,5100,""Total gross domestic product"",3211,""ACS (Association of Caribbean States)"",88080.777,,705.003,,559519.467,,4478.424,"
"1970,5100,""Total gross domestic product"",324,""Guinea"",765.479,,184.248,,1921.213,,462.43,"
"1970,5100,""Total gross domestic product"",328,""Guyana"",427.061,,605.82,,1280.402,,1816.354,"
"1970,5100,""Total gross domestic product"",3301,""ASEAN (Association of Southeast Asian Nations)"",37637.536,,133.743,,210270.791,,747.184,"
"1970,5100,""Total gross domestic product"",3302,""APTA (Asia-Pacific Trade Agreement)"",173362.383,,115.909,,545529.213,,364.738,"
"1970,5100,""Total gross domestic product"",3303,""GCC (The Cooperation Council for the Arab States of the Gulf)"",10546.747,,1341.601,,227650.523,,28958.33,"
"1970,5100,""Total gross domestic product"",3304,""SAARC (South Asian Association for Regional Cooperation)"",87449.008,,122.527,,296011.855,,414.75,"
"1970,5100,""Total gross domestic product"",3305,""ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea"",351854.486,,282.355,,1935938.963,,1553.544,"
"1970,5100,""Total gross domestic product"",3306,""ECO (Economic Cooperation Organization)"",50916.457,,383.679,,307326.079,,2315.844,"
"1970,5100,""Total gross domestic product"",3307,""African Union"",116432.574,,320.869,,505885.361,,1394.138,"
"1970,5100,""Total gross domestic product"",3310,""ADB (African Development Bank), developing member countries"",217280.637,,119.007,,727961.248,,398.713,"
"1970,5100,""Total gross domestic product"",3311,""ADB: Group A"",6694.437,,109.282,,24786.82,,404.627,"
"1970,5100,""Total gross domestic product"",3312,""ADB: Group B"",83057.015,,121.851,,279195.726,,409.602,"
"1970,5100,""Total gross domestic product"",3313,""ADB: Group C"",127529.185,,117.767,,423978.702,,391.525,"
"1970,5100,""Total gross domestic product"",332,""Haiti"",439.235,,93.929,,4638.116,,991.848,"
"1970,5100,""Total gross domestic product"",3320,""ECA (Economic Commission for Africa)"",116432.574,,320.869,,505885.361,,1394.138,"
"1970,5100,""Total gross domestic product"",3321,""ECA: North Africa"",25192.487,,289.225,,149794.193,,1719.729,"
"1970,5100,""Total gross domestic product"",3322,""ECA: Eastern Africa"",10813.404,,132.407,,39227.931,,480.335,"
"1970,5100,""Total gross domestic product"",3323,""ECA: Central Africa"",7469.467,,217.894,,41972.268,,1224.384,"
"1970,5100,""Total gross domestic product"",3324,""ECA: Southern Africa"",32062.801,,584.162,,149382.25,,2721.639,"
"1970,5100,""Total gross domestic product"",3325,""ECA: West Africa"",40894.415,,389.74,,125508.719,,1196.146,"
"1970,5100,""Total gross domestic product"",3326,""ECA: Island economies"",1426.055,,177.627,,7578.418,,943.953,"
"1970,5100,""Total gross domestic product"",3327,""ECA: Landlocked countries"",11243.591,,133.586,,36365.531,,432.063,"
"1970,5100,""Total gross domestic product"",3328,""ECA: Landlocked LDCs"",8907.073,,112.922,,31490.213,,399.228,"
"1970,5100,""Total gross domestic product"",3329,""ECA: Least developed countries"",30675.273,,179.976,,126623.762,,742.918,"
"1970,5100,""Total gross domestic product"",3330,""ECLAC (Economic Commission for Latin America and the Caribbean)"",180363.313,,636.709,,1292926.014,,4564.218,"
"1970,5100,""Total gross domestic product"",3331,""ECLAC: Caribbean"",5001.36,,969.916,,30404.988,,5896.454,"
"1970,5100,""Total gross domestic product"",3332,""ECLAC: Latin America"",175361.952,,630.531,,1262521.026,,4539.517,"
"1970,5100,""Total gross domestic product"",3333,""ECA: Mineral-rich countries"",46458.903,,313.933,,223975.799,,1513.454,"
"1970,5100,""Total gross domestic product"",3334,""ECA: Non-oil LDCs"",25278.432,,171.809,,85721.555,,582.619,"
"1970,5100,""Total gross domestic product"",3335,""ECA: Non-oil Producing"",58943.861,,268.077,,230698.522,,1049.219,"
"1970,5100,""Total gross domestic product"",3336,""ECA: Oil LDCs"",10738.065,,224.498,,70263.441,,1468.983,"
"1970,5100,""Total gross domestic product"",3337,""ECA: Oil producing economies"",57488.712,,402.048,,275186.839,,1924.524,"
"1970,5100,""Total gross domestic product"",3338,""ECA: Sahel"",35068.518,,380.134,,110233.823,,1194.907,"
"1970,5100,""Total gross domestic product"",3339,""ECA: Small island States"",373.6,,257.286,,2055.394,,1415.482,"
"1970,5100,""Total gross domestic product"",3340,""ESCAP (Economic and Social Commission for Asia and the Pacific)"",971694.673,,421.545,,3566992.095,,1547.451,"
"1970,5100,""Total gross domestic product"",3341,""ESCAP: Africa"",116432.574,,320.869,,505885.361,,1394.138,"
"1970,5100,""Total gross domestic product"",3342,""ESCAP: Latin America"",180363.313,,636.709,,1292926.014,,4564.218,"
"1970,5100,""Total gross domestic product"",3343,""ESCAP: Europe"",951787.455,,2059.98,,6666188.765,,14427.82,"
"1970,5100,""Total gross domestic product"",3344,""ESCAP: East and North-East Asia (ENEA)"",323325.379,,328.412,,1763807.715,,1791.558,"
"1970,5100,""Total gross domestic product"",3345,""ESCAP: North and Central Asia"",433412.461,,1789.102,,648389.431,,2676.514,"
"1970,5100,""Total gross domestic product"",3346,""ESCAP: South and South-West Asia"",123494.768,,158.917,,558874.658,,719.178,"
"1970,5100,""Total gross domestic product"",3347,""ESCAP: Pacific"",53824.529,,2719.045,,385649.501,,19481.794,"
"1970,5100,""Total gross domestic product"",3348,""ESCAP: Pacific island developing economies (PIDE)"",2175.976,,520.076,,11971.2,,2861.214,"
"1970,5100,""Total gross domestic product"",3349,""ESCAP: Other area"",24941.805,,641.118,,334102.455,,8630.185,"
"1970,5100,""Total gross domestic product"",3350,""ESCAP: East and North-East Asia, incl. the Russian Federation"",756737.84,,616.858,,2412197.146,,1966.312,"
"1970,5100,""Total gross domestic product"",3351,""ESCAP: Least developed countries"",12697.137,,101.618,,56211.947,,449.878,"
"1970,5100,""Total gross domestic product"",3352,""ESCAP: Landlocked developing countries"",3155.205,,114.681,,16510.504,,600.102,"
"1970,5100,""Total gross domestic product"",3353,""ESCAP: Countries with special needs"",15062.812,,115.592,,69367.185,,532.322,"
"1970,5100,""Total gross domestic product"",3354,""ESCAP: Small islands developing States"",4138.936,,649.558,,26667.62,,4185.172,"
"1970,5100,""Total gross domestic product"",3355,""UNECE (Economic Commission for Europe)"",2583926.483,,2648.652,,13143840.731,,13473.086,"
"1970,5100,""Total gross domestic product"",3356,""ESCAP: High-income economies (World Bank)"",280043.831,,1758.455,,1920353.882,,12058.309,"
"1970,5100,""Total gross domestic product"",3357,""ESCAP: Upper-middle-income economies (World Bank)"",584076.288,,450.271,,1262427.693,,973.22,"
"1970,5100,""Total gross domestic product"",3358,""ESCAP: Lower-middle-income economies (World Bank)"",100904.633,,122.598,,366020.379,,444.712,"
"1970,5100,""Total gross domestic product"",3359,""ESCAP: Low-income economies (World Bank)"",6658.768,,260.27,,18078.731,,706.641,"
"1970,5100,""Total gross domestic product"",3360,""UNECE: Eastern Europe, Caucasus and Central Asia"",433412.461,,1789.102,,648389.431,,2676.514,"
"1970,5100,""Total gross domestic product"",3361,""UNECE: West Balkans"",16819.177,,752.056,,84796.824,,3791.621,"
"1970,5100,""Total gross domestic product"",3370,""ESCWA (Economic and Social Commission for Western Asia)"",37725.382,,395.702,,394682.257,,4144.579,"
"1970,5100,""Total gross domestic product"",3371,""ESCWA: Arab countries"",44564.063,,349.395,,443298.734,,3477.517,"
"1970,5100,""Total gross domestic product"",3372,""ESCWA: Mashreq"",15965.869,,285.473,,87405.888,,1562.836,"
"1970,5100,""Total gross domestic product"",3373,""ESCWA: Maghreb"",15359.013,,407.757,,107560.531,,2855.56,"
"1970,5100,""Total gross domestic product"",3374,""ESCWA: Arab LDCs"",2692.433,,91.948,,20681.792,,679.876,"
"1970,5100,""Total gross domestic product"",3380,""CBD (Convention on Biological Diversity)"",3407750.672,,925.773,,18001456.239,,4889.963,"
"1970,5100,""Total gross domestic product"",3381,""CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora)"",3402019.088,,929.375,,17986573.317,,4913.19,"
"1970,5100,""Total gross domestic product"",3382,""Nagoya Protocol on Access and Benefit Sharing"",1581208.475,,575.878,,10168967.355,,3703.548,"
"1970,5100,""Total gross domestic product"",3383,""LMMC (Like-Minded Megadiverse Countries)"",334296.085,,178.393,,1763974.058,,941.324,"
"1970,5100,""Total gross domestic product"",3384,""BioTrade countries"",2922763.061,,933.316,,14428035.843,,4607.257,"
"1970,5100,""Total gross domestic product"",340,""Honduras"",824.354,,303.445,,3962.619,,1458.641,"
"1970,5100,""Total gross domestic product"",3401,""EFTA (European Free Trade Association)"",37726.662,,3679.721,,442869.153,,43195.84,"
"1970,5100,""Total gross domestic product"",3402,""EU25 (European Union 2004 … 2007)"",875343.257,,2186.607,,6078408.917,,15183.863,"
"1970,5100,""Total gross domestic product"",3404,""EU15 (European Union 1995 … 2004)"",823507.824,,2407.747,,5805609.812,,16974.262,"
"1970,5100,""Total gross domestic product"",3406,""Euro area"",638533.083,,2328.524,,4417627.753,,16109.664,"
"1970,5100,""Total gross domestic product"",3408,""EU27 (European Union 2007 … 2013)"",897061.931,,2089.219,,6137071.065,,14292.974,"
"1970,5100,""Total gross domestic product"",3410,""EU28 (European Union 2013 … 2020)"",897061.931,,2089.219,,6137071.065,,14292.974,"
"1970,5100,""Total gross domestic product"",3412,""European Union (2020 …)"",766379.635,,2051.191,,5073184.727,,13578.218,"
"1970,5100,""Total gross domestic product"",344,""China, Hong Kong SAR"",3812.494,,990.535,,26852.693,,6976.679,"
"1970,5100,""Total gross domestic product"",348,""Hungary"",6388.906,,616.327,,50192.904,,4842.024,"
"1970,5100,""Total gross domestic product"",3501,""MSG (Melanesian Spearhead Group)"",1388.232,,391.128,,6915.139,,1948.307,"
"1970,5100,""Total gross domestic product"",352,""Iceland"",527.497,,2580.417,,3671.372,,17959.683,"
"1970,5100,""Total gross domestic product"",356,""India"",62422.483,,112.434,,205664.803,,370.441,"
"1970,5100,""Total gross domestic product"",3601,""Northern America and Europe"",2553178.376,,2722.022,,12989090.11,,13848.068,"
"1970,5100,""Total gross domestic product"",3602,""Central and Southern Asia"",98425.253,,132.608,,442543.417,,596.239,"
