,Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Percentage of total fleet,Number of ships
79,2014,0,Total all flags,2233,SIDS: Pacific,535.249,0.03191,45
80,2014,0,Total all flags,2250,SIDS (Small island developing States) (UN-OHRLLS),122062.722,7.27714,2788
81,2014,0,Total all flags,226,Equatorial Guinea,2.542,0.00015,2
82,2014,0,Total all flags,231,Ethiopia,433.778,0.02586,17
83,2014,0,Total all flags,232,Eritrea,12.812,0.00076,4
84,2014,0,Total all flags,233,Estonia,267.946,0.01597,70
85,2014,0,Total all flags,234,Faroe Islands,55.138,0.00329,19
86,2014,0,Total all flags,2370,Selected exporters of petroleum,82447.402,4.91535,3071
87,2014,0,Total all flags,2371,Selected exporters of manufactured goods,520070.041,31.00555,15819
88,2014,0,Total all flags,2372,Selected exporters of manufactured goods and primary commodities,332459.959,19.8206,11227
89,2014,0,Total all flags,2373,Selected exporters of agricultural products,4029.986,0.24026,343
90,2014,0,Total all flags,2374,Selected exporters of minerals and mining products,2909.048,0.17343,144
91,2014,0,Total all flags,2376,Selected LIFDC (Low-income food-deficit countries),33273.778,1.98372,2130
92,2014,0,Total all flags,2378,LIFDC (Low-income food-deficit countries) (FAO),34433.504,2.05286,2190
93,2014,0,Total all flags,238,Falkland Islands (Malvinas),0.0,0.0,0
94,2014,0,Total all flags,2411,Net food-importing economies,1346136.8,80.25401,32147
95,2014,0,Total all flags,2412,Net food-exporting economies,325708.34,19.41809,14725
96,2014,0,Total all flags,2413,Net food-exporting developing economies,129336.857,7.71081,7080
97,2014,0,Total all flags,2414,Net food-exporting transition economies,3966.387,0.23647,396
98,2014,0,Total all flags,2415,Net food-exporting developed economies,192405.096,11.47081,7249
99,2014,0,Total all flags,2416,Major net food-exporting economies,319534.812,19.05003,14322
100,2014,0,Total all flags,242,Fiji,5.622,0.00034,8
101,2014,0,Total all flags,2420,Net food-importing developing economies,532114.986,31.72364,14245
102,2014,0,Total all flags,2421,Net food-importing transition economies,19766.401,1.17843,1927
103,2014,0,Total all flags,2422,Net food-importing developed economies,794255.413,47.35194,15975
104,2014,0,Total all flags,2423,Major net food-importing economies,1028374.285,61.30964,26688
105,2014,0,Total all flags,246,Finland,2016.448,0.12022,150
106,2014,0,Total all flags,250,"France, metropolitan",10911.52,0.65052,423
107,2014,0,Total all flags,2508,Industrialized economies (UNIDO),1058036.286,63.07803,27956
108,2014,0,Total all flags,2509,EIEs (Emerging Industrial Economies) (UNIDO),572787.572,34.14846,15886
109,2014,0,Total all flags,251,France,28053.5,1.67249,604
110,2014,0,Total all flags,2510,Emerging markets,639731.711,38.13954,21341
111,2014,0,Total all flags,2511,Emerging markets: Africa,10446.533,0.6228,516
112,2014,0,Total all flags,2512,Emerging markets: America,27478.12,1.63819,873
113,2014,0,Total all flags,2513,Emerging markets: Asia,571729.487,34.08538,17521
114,2014,0,Total all flags,2514,Emerging markets: Europe and Kazakhstan,30077.571,1.79317,2431
115,2014,0,Total all flags,258,French Polynesia,23.008,0.00137,18
116,2014,0,Total all flags,2611,HIPCs (Heavily indebted poor countries) (IMF),1473.513,0.08785,99
117,2014,0,Total all flags,262,Djibouti,3.205,0.00019,1
118,2014,0,Total all flags,2621,High-income developing economies,587354.949,35.01694,16202
119,2014,0,Total all flags,2622,Middle-income developing economies,71356.459,4.25413,4821
120,2014,0,Total all flags,2623,Low-income developing economies,2741.08,0.16342,302
121,2014,0,Total all flags,2624,Low-income economies (World Bank),2744.867,0.16364,305
122,2014,0,Total all flags,2625,Lower-middle-income economies (World Bank),70404.668,4.19739,5006
123,2014,0,Total all flags,2626,Upper-middle-income economies (World Bank),279464.987,16.66115,10967
124,2014,0,Total all flags,2627,High-income economies (World Bank),1319284.101,78.65311,30604
125,2014,0,Total all flags,2628,High-income OECD members (World Bank),1012260.986,60.349,23946
126,2014,0,Total all flags,2629,High-income non OECD members (World Bank),307023.115,18.30411,6658
127,2014,0,Total all flags,266,Gabon,76.1,0.00454,3
128,2014,0,Total all flags,268,Georgia,9.925,0.00059,4
129,2014,0,Total all flags,270,Gambia,1.5,9e-05,1
130,2014,0,Total all flags,2710,BASIC,195851.759,11.67629,6227
131,2014,0,Total all flags,2711,BRICS,214341.379,12.77861,7902
132,2014,0,Total all flags,276,Germany,127347.1,7.59218,3694
133,2014,0,Total all flags,288,Ghana,42.101,0.00251,10
134,2014,0,Total all flags,292,Gibraltar,32.848,0.00196,7
135,2014,0,Total all flags,296,Kiribati,1.218,7e-05,1
136,2014,0,Total all flags,300,Greece,256122.0,15.26949,3757
137,2014,0,Total all flags,304,Greenland,39.542,0.00236,7
138,2014,0,Total all flags,308,Grenada,1.56,9e-05,1
139,2014,0,Total all flags,3101,AMU (Arab Maghreb Union),4361.804,0.26004,123
140,2014,0,Total all flags,3102,COMESA (Common Market for Eastern and Southern Africa),7220.807,0.43049,320
141,2014,0,Total all flags,3103,ECCAS (Economic Community of Central African States),6647.222,0.39629,70
142,2014,0,Total all flags,3104,ECOWAS (Economic Community of West African States),4756.237,0.28356,267
143,2014,0,Total all flags,3105,MRU (Mano River Union),35.089,0.00209,8
144,2014,0,Total all flags,3106,SADC (Southern African Development Community),8451.304,0.50385,156
145,2014,0,Total all flags,3107,CEMAC (Economic and Monetary Community of Central Africa),871.578,0.05196,11
146,2014,0,Total all flags,3108,WAEMU (West African Economic and Monetary Union),2.263,0.00013,2
147,2014,0,Total all flags,3109,CEPGL (Economic Community of the Great Lakes Countries),15.786,0.00094,5
148,2014,0,Total all flags,3110,EAC (East African Community),75.483,0.0045,18
149,2014,0,Total all flags,3111,SACU (Southern African Customs Union),2263.943,0.13497,64
150,2014,0,Total all flags,3112,CEN-SAD (Community of Sahel-Saharan States),11293.003,0.67327,560
151,2014,0,Total all flags,3113,IGAD (Intergovernmental Authority on Development),523.458,0.03121,34
152,2014,0,Total all flags,3114,United Nations member States,1511903.82,90.13671,44280
153,2014,0,Total all flags,312,Guadeloupe,0.0,0.0,0
154,2014,0,Total all flags,316,Guam,1.035,6e-05,1
155,2014,0,Total all flags,320,Guatemala,1.109,7e-05,1
156,2014,0,Total all flags,3201,CAN (Andean Community),1297.028,0.07733,107
157,2014,0,Total all flags,3202,CACM (Central American Common Market),121.947,0.00727,21
158,2014,0,Total all flags,3203,CARICOM (Caribbean Community),1381.158,0.08234,84
159,2014,0,Total all flags,3204,FTAA (Free Trade Area of the Americas),98317.641,5.8615,3333
160,2014,0,Total all flags,3205,LAIA (Latin American Integration Association),31296.905,1.86586,1036
161,2014,0,Total all flags,3206,NAFTA (North American Free Trade Agreement),67160.978,4.004,2362
162,2014,0,Total all flags,3207,OECS (Organisation of Eastern Caribbean States),518.24,0.0309,21
163,2014,0,Total all flags,3208,MERCOSUR (Southern Common Market),22522.224,1.34273,556
164,2014,0,Total all flags,3209,ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),2723.575,0.16237,106
165,2014,0,Total all flags,3210,UNASUR (Union of South American Nations),2462.777,0.14683,117
166,2014,0,Total all flags,3211,ACS (Association of Caribbean States),9134.965,0.54461,502
167,2014,0,Total all flags,324,Guinea,3.423,0.0002,1
168,2014,0,Total all flags,328,Guyana,39.516,0.00236,17
169,2014,0,Total all flags,3301,ASEAN (Association of Southeast Asian Nations),130424.515,7.77565,6140
170,2014,0,Total all flags,3302,APTA (Asia-Pacific Trade Agreement),253564.944,15.11704,7454
171,2014,0,Total all flags,3303,GCC (The Cooperation Council for the Arab States of the Gulf),47166.411,2.81197,1191
172,2014,0,Total all flags,3304,SAARC (South Asian Association for Regional Cooperation),24215.282,1.44367,1046
173,2014,0,Total all flags,3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",585610.965,34.91297,16526
174,2014,0,Total all flags,3306,ECO (Economic Cooperation Organization),48940.09,2.91771,1967
175,2014,0,Total all flags,3307,African Union,22474.724,1.3399,804
176,2014,0,Total all flags,3310,"ADB (African Development Bank), developing member countries",228277.496,13.60945,10147
177,2014,0,Total all flags,3311,ADB: Group A,785.55,0.04683,86
178,2014,0,Total all flags,3312,ADB: Group B,24224.527,1.44422,1065
179,2014,0,Total all flags,3313,ADB: Group C,203267.419,12.1184,8996
180,2014,0,Total all flags,332,Haiti,9.622,0.00057,2
181,2014,0,Total all flags,3320,ECA (Economic Commission for Africa),22509.138,1.34195,809
182,2014,0,Total all flags,3321,ECA: North Africa,7940.975,0.47343,346
183,2014,0,Total all flags,3322,ECA: East Africa,739.359,0.04408,51
184,2014,0,Total all flags,3323,ECA: Central Africa,887.364,0.0529,16
185,2014,0,Total all flags,3324,ECA: Southern Africa,8185.203,0.48799,129
186,2014,0,Total all flags,3325,ECA: West Africa,4756.237,0.28356,267
187,2014,0,Total all flags,3330,ECLAC (Economic Commission for Latin America and the Caribbean),33141.101,1.97581,1154
188,2014,0,Total all flags,3331,ECLAC: Caribbean,1712.627,0.1021,95
189,2014,0,Total all flags,3332,ECLAC: Latin America,31428.474,1.8737,1059
190,2014,0,Total all flags,3340,ESCAP (Economic and Social Commission for Asia and the Pacific),756697.617,45.11281,22970
191,2014,0,Total all flags,3341,ESCAP: Africa,22474.724,1.3399,804
192,2014,0,Total all flags,3342,ESCAP: Latin America,33141.101,1.97581,1154
193,2014,0,Total all flags,3343,ESCAP: Europe,656246.83,39.12414,16996
194,2014,0,Total all flags,3344,ESCAP: East and North-East Asia (ENEA),531887.163,31.71006,11904
195,2014,0,Total all flags,3345,ESCAP: North and Central Asia,19607.502,1.16896,1902
196,2014,0,Total all flags,3346,ESCAP: South and South-West Asia,71370.982,4.255,2775
197,2014,0,Total all flags,3347,ESCAP: Pacific,3407.194,0.20313,248
198,2014,0,Total all flags,3348,ESCAP: Pacific island developing economies (PIDE),550376.783,32.81237,13579
199,2014,0,Total all flags,3349,ESCAP: Other area,53983.132,3.21837,1584
200,2014,0,Total all flags,3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",550376.783,32.81237,13579
201,2014,0,Total all flags,3355,UNECE (Economic Commission for Europe),773708.64,46.12698,22638
202,2014,0,Total all flags,3360,"UNECE: Eastern Europe, Caucasus and Central Asia",23573.889,1.40543,2298
203,2014,0,Total all flags,3361,UNECE: West Balkans,3346.38,0.1995,132
204,2014,0,Total all flags,3370,ESCWA (Economic and Social Commission for Western Asia),57200.534,3.41018,1817
205,2014,0,Total all flags,3371,ESCWA: Arab countries,58618.748,3.49473,1868
206,2014,0,Total all flags,340,Honduras,43.837,0.00261,13
207,2014,0,Total all flags,3401,EFTA (European Free Trade Association),61327.252,3.65621,2191
208,2014,0,Total all flags,3402,EU25 (European Union 2004 … 2007),585251.429,34.89153,14083
209,2014,0,Total all flags,3404,EU15 (European Union 1995 … 2004),569326.147,33.9421,13396
210,2014,0,Total all flags,3406,Euro area,489757.918,29.1984,11456
211,2014,0,Total all flags,3408,EU27 (European Union 2007 … 2013),587518.825,35.02671,14251
212,2014,0,Total all flags,3410,EU28 (European Union 2013 … 2020),590706.306,35.21674,14358
213,2014,0,Total all flags,3411,CEFTA (Central European Free Trade Agreement),158.899,0.00947,25
214,2014,0,Total all flags,3412,European Union (2020 …),544025.746,32.43374,13145
215,2014,0,Total all flags,344,"China, Hong Kong SAR",75920.97,4.52626,1380
216,2014,0,Total all flags,3501,MSG (Melanesian Spearhead Group),134.646,0.00803,51
217,2014,0,Total all flags,352,Iceland,99.392,0.00593,19
218,2014,0,Total all flags,356,India,21329.68,1.27163,918
219,2014,0,Total all flags,360,Indonesia,16581.03,0.98853,1646
220,2014,0,Total all flags,3601,Northern America and Europe,778132.742,46.39073,21167
221,2014,0,Total all flags,3602,Central and Southern Asia,42921.627,2.5589,1325
222,2014,0,Total all flags,3603,Eastern and South-Eastern Asia,708184.65,42.22057,18909
223,2014,0,Total all flags,3604,Western Asia and Northern Africa,91482.319,5.45399,3606
224,2014,0,Total all flags,364,Iran (Islamic Republic of),18273.38,1.08942,238
225,2014,0,Total all flags,368,Iraq,232.042,0.01383,23
226,2014,0,Total all flags,372,Ireland,703.257,0.04193,78
227,2014,0,Total all flags,376,Israel,3308.564,0.19725,63
228,2014,0,Total all flags,380,Italy,25190.12,1.50179,839
229,2014,0,Total all flags,384,Côte d'Ivoire,0.0,0.0,0
230,2014,0,Total all flags,388,Jamaica,0.0,0.0,0
231,2014,0,Total all flags,3901,APEC (Asia-Pacific Economic Cooperation),798492.22,47.60453,23055
232,2014,0,Total all flags,3903,CIS (Commonwealth of Independent States),19523.876,1.16397,1879
233,2014,0,Total all flags,3905,OECD (Organisation for Economic Cooperation and Development),1042552.874,62.15494,25587
234,2014,0,Total all flags,3906,OPEC (Organization of the Petroleum Exporting Countries),70360.873,4.19478,1777
235,2014,0,Total all flags,3907,"ACP (African, Caribbean and Pacific Group of States)",16896.768,1.00735,663
236,2014,0,Total all flags,3908,LAS (League of Arab States),58618.748,3.49473,1868
237,2014,0,Total all flags,3909,OIC (Organisation of Islamic Cooperation),147889.716,8.81689,6497
238,2014,0,Total all flags,3910,OAS (Organization of American States),98551.42,5.87544,3353
239,2014,0,Total all flags,3912,G7 (Group of Seven),518147.59,30.89093,12515
240,2014,0,Total all flags,3913,G8 (Group of Eight),536637.21,31.99325,14190
241,2014,0,Total all flags,3916,G20 (Group of Twenty),1231352.308,73.41079,33664
242,2014,0,Total all flags,3919,G-77 (Group of 77),432741.446,25.79919,16042
243,2014,0,Total all flags,392,Japan,225124.9,13.4215,3953
244,2014,0,Total all flags,3921,GSTP (Global System of Trade Preferences among Developing Countries),291658.367,17.38809,10669
245,2014,0,Total all flags,3922,GSTP: Africa,13116.392,0.78197,613
246,2014,0,Total all flags,3923,GSTP: Latin America,27799.443,1.65735,933
247,2014,0,Total all flags,3924,GSTP: Asia,250742.531,14.94877,9123
248,2014,0,Total all flags,3932,TPP (Trans-Pacific Partnership),347427.6,20.71295,8394
249,2014,0,Total all flags,3940,ACP: Africa,14611.602,0.87111,469
250,2014,0,Total all flags,3941,ACP: Western Africa,4765.262,0.2841,268
251,2014,0,Total all flags,3942,ACP: Eastern Africa,900.761,0.0537,62
252,2014,0,Total all flags,3943,ACP: Central Africa,6647.222,0.39629,70
253,2014,0,Total all flags,3944,ACP: Southern Africa,2263.943,0.13497,64
254,2014,0,Total all flags,3945,ACP: Caribbean,1614.937,0.09628,104
255,2014,0,Total all flags,3946,ACP: Pacific,670.228,0.03996,90
256,2014,0,Total all flags,3947,ACP: LDCs,6367.651,0.37963,119
257,2014,0,Total all flags,3948,ACP: LLDCs,433.778,0.02586,17
258,2014,0,Total all flags,3949,ACP: islands states,2085.119,0.12431,159
259,2014,0,Total all flags,3950,ACP: Northern Africa,34.414,0.00205,5
260,2014,0,Total all flags,398,Kazakhstan,359.264,0.02142,22
261,2014,0,Total all flags,400,Jordan,202.799,0.01209,20
262,2014,0,Total all flags,404,Kenya,39.249,0.00234,7
263,2014,0,Total all flags,408,"Korea, Dem. People's Rep. of",740.855,0.04417,137
264,2014,0,Total all flags,410,"Korea, Republic of",76958.75,4.58813,1561
265,2014,0,Total all flags,414,Kuwait,6167.094,0.36767,63
266,2014,0,Total all flags,418,Lao People's Dem. Rep.,19.678,0.00117,1
267,2014,0,Total all flags,422,Lebanon,1624.21,0.09683,172
268,2014,0,Total all flags,428,Latvia,1134.571,0.06764,70
269,2014,0,Total all flags,430,Liberia,26.041,0.00155,5
270,2014,0,Total all flags,434,Libya,2440.264,0.14548,32
271,2014,0,Total all flags,438,Liechtenstein,0.0,0.0,0
272,2014,0,Total all flags,440,Lithuania,300.391,0.01791,55
273,2014,0,Total all flags,442,Luxembourg,1606.973,0.0958,59
274,2014,0,Total all flags,446,"China, Macao SAR",38.888,0.00232,1
275,2014,0,Total all flags,450,Madagascar,1.214,7e-05,1
276,2014,0,Total all flags,458,Malaysia,16263.28,0.96958,612
277,2014,0,Total all flags,462,Maldives,55.133,0.00329,11
278,2014,0,Total all flags,470,Malta,526.69,0.0314,32
279,2014,0,Total all flags,474,Martinique,0.0,0.0,0
280,2014,0,Total all flags,478,Mauritania,9.025,0.00054,1
281,2014,0,Total all flags,480,Mauritius,152.531,0.00909,7
282,2014,0,Total all flags,484,Mexico,1409.568,0.08404,150
283,2014,0,Total all flags,492,Monaco,17141.97,1.02197,181
284,2014,0,Total all flags,496,Mongolia,0.0,0.0,0
285,2014,0,Total all flags,498,"Moldova, Republic of",0.0,0.0,0
286,2014,0,Total all flags,499,Montenegro,71.75,0.00428,3
287,2014,0,Total all flags,504,Morocco,201.99,0.01204,32
288,2014,0,Total all flags,508,Mozambique,8.871,0.00053,4
289,2014,0,Total all flags,5100,Africa,22509.138,1.34195,809
290,2014,0,Total all flags,5110,Northern Africa,7931.95,0.47289,345
291,2014,0,Total all flags,512,Oman,6923.601,0.41277,35
292,2014,0,Total all flags,5120,Sub-Saharan Africa,14577.188,0.86906,464
293,2014,0,Total all flags,5121,Eastern Africa,900.761,0.0537,62
294,2014,0,Total all flags,5122,Middle Africa,6647.222,0.39629,70
295,2014,0,Total all flags,5123,Southern Africa,2263.943,0.13497,64
296,2014,0,Total all flags,5124,Western Africa,4765.262,0.2841,268
297,2014,0,Total all flags,516,Namibia,27.284,0.00163,5
298,2014,0,Total all flags,5200,America,136537.393,8.14009,3650
299,2014,0,Total all flags,5210,Northern America,103396.292,6.16428,2496
300,2014,0,Total all flags,5220,Latin America and the Caribbean,33141.101,1.97581,1154
301,2014,0,Total all flags,5221,Caribbean,1892.852,0.11285,92
302,2014,0,Total all flags,5222,Central America,5097.975,0.30393,302
303,2014,0,Total all flags,5223,South America,26150.274,1.55903,760
304,2014,0,Total all flags,528,Netherlands,17065.16,1.01739,1216
305,2014,0,Total all flags,5300,Asia,834656.645,49.76058,23495
306,2014,0,Total all flags,531,Curaçao,1.68,0.0001,1
307,2014,0,Total all flags,5310,Central Asia,432.965,0.02581,41
308,2014,0,Total all flags,5320,Southern Asia,42488.662,2.53309,1284
309,2014,0,Total all flags,533,Aruba,0.0,0.0,0
310,2014,0,Total all flags,5330,Eastern Asia,577759.873,34.4449,12768
311,2014,0,Total all flags,5340,Western Asia,83550.369,4.98111,3261
312,2014,0,Total all flags,535,"Bonaire, Sint Eustatius and Saba",0.0,0.0,0
313,2014,0,Total all flags,5350,South-eastern Asia,130424.777,7.77567,6141
314,2014,0,Total all flags,540,New Caledonia,3.975,0.00024,3
315,2014,0,Total all flags,5400,Europe,674736.45,40.22645,18671
316,2014,0,Total all flags,5410,Eastern Europe,27805.36,1.6577,2379
317,2014,0,Total all flags,5420,Northern Europe,140308.607,8.36492,4777
318,2014,0,Total all flags,5430,Southern Europe,299138.335,17.83404,5360
319,2014,0,Total all flags,5440,Western Europe,207484.148,12.36979,6155
320,2014,0,Total all flags,548,Vanuatu,2.5,0.00015,1
321,2014,0,Total all flags,5500,Oceania,3407.194,0.20313,248
322,2014,0,Total all flags,554,New Zealand,200.674,0.01196,18
323,2014,0,Total all flags,558,Nicaragua,0.0,0.0,0
324,2014,0,Total all flags,5600,Asia and Oceania,838063.839,49.96371,23743
325,2014,0,Total all flags,566,Nigeria,4665.117,0.27813,239
326,2014,0,Total all flags,579,Norway,43319.91,2.58265,1829
327,2014,0,Total all flags,580,Northern Mariana Islands,0.0,0.0,0
328,2014,0,Total all flags,583,Micronesia (Federated States of),0.0,0.0,0
329,2014,0,Total all flags,584,Marshall Islands,504.932,0.0301,31
330,2014,0,Total all flags,585,Palau,0.0,0.0,0
331,2014,0,Total all flags,586,Pakistan,676.433,0.04033,15
332,2014,0,Total all flags,591,Panama,3545.106,0.21135,125
333,2014,0,Total all flags,598,Papua New Guinea,126.524,0.00754,42
334,2014,0,Total all flags,600,Paraguay,38.159,0.00227,17
335,2014,0,Total all flags,604,Peru,513.096,0.03059,30
336,2014,0,Total all flags,608,Philippines,2176.58,0.12976,387
337,2014,0,Total all flags,616,Poland,3081.957,0.18374,140
338,2014,0,Total all flags,620,Portugal,946.105,0.0564,54
339,2014,0,Total all flags,624,Guinea-Bissau,0.0,0.0,0
340,2014,0,Total all flags,626,Timor-Leste,0.262,2e-05,1
341,2014,0,Total all flags,634,Qatar,5888.337,0.35105,113
342,2014,0,Total all flags,638,Réunion,0.0,0.0,0
343,2014,0,Total all flags,642,Romania,992.862,0.05919,91
344,2014,0,Total all flags,643,Russian Federation,18489.62,1.10231,1675
345,2014,0,Total all flags,652,Saint Barthélemy,0.0,0.0,0
346,2014,0,Total all flags,654,Saint Helena,0.0,0.0,0
347,2014,0,Total all flags,659,Saint Kitts and Nevis,27.554,0.00164,7
348,2014,0,Total all flags,660,Anguilla,2.15,0.00013,1
349,2014,0,Total all flags,662,Saint Lucia,1.821,0.00011,1
350,2014,0,Total all flags,666,Saint Pierre and Miquelon,0.0,0.0,0
351,2014,0,Total all flags,670,Saint Vincent and the Grenadines,152.318,0.00908,2
352,2014,0,Total all flags,678,Sao Tome and Principe,0.0,0.0,0
353,2014,0,Total all flags,682,Saudi Arabia,8205.879,0.48922,208
354,2014,0,Total all flags,686,Senegal,2.263,0.00013,2
355,2014,0,Total all flags,690,Seychelles,212.867,0.01269,10
356,2014,0,Total all flags,694,Sierra Leone,5.625,0.00034,2
357,2014,0,Total all flags,702,Singapore,81233.97,4.84301,2220
358,2014,0,Total all flags,704,Viet Nam,7708.376,0.45956,849
359,2014,0,Total all flags,705,Slovenia,680.689,0.04058,20
360,2014,0,Total all flags,706,Somalia,0.0,0.0,0
361,2014,0,Total all flags,710,South Africa,2236.659,0.13335,59
362,2014,0,Total all flags,724,Spain,2360.465,0.14073,219
363,2014,0,Total all flags,729,Sudan,34.414,0.00205,5
364,2014,0,Total all flags,740,Suriname,2.306,0.00014,2
365,2014,0,Total all flags,752,Sweden,6450.164,0.38455,325
366,2014,0,Total all flags,756,Switzerland,17907.95,1.06764,343
367,2014,0,Total all flags,757,"Switzerland, Liechtenstein",17907.95,1.06764,343
368,2014,0,Total all flags,760,Syrian Arab Republic,876.174,0.05224,95
369,2014,0,Total all flags,764,Thailand,6240.986,0.37208,379
